no		aptName		address_full	address_si (city)	address_gu	address_dong	address_detail	address_street	address_streetno									towers	units	contractor	developer	date_approval																					x	y	date_applied	year_approval	aptName_keys	gu_key	gu_trans	dong_key	dong_trans	streetname_key	streetname_trans	prompt_setup	result
40164	A10024412	강동리엔파크 14단지 아파트	아파트	서울특별시 강동구 고덕로98길 160	서울	강동구	상일동		고덕로98길	160	24412845	24412855			임대+분양	위탁관리	혼합식	지역난방	9	943	대우조선해양건설(주)	서울주택도시공사	2021-02-10 0:00:00	88332	37804	87618	943	0	0			2021-02-26 18:40:25	2022-09-02 2:34:03		위탁	종합계약	위탁	7208.13	823	의무	2021-03-09 14:59:43	Y	N	127.144817	37.554724	2021-03-09 14:06:07	2021	강동 리엔파크 14단지	강동	강의 동쪽	상일	게 있는 개울의 위쪽	고덕	덕이 높은 곳	강동 리엔파크 14단지 아파트는 서울시 강동구 상일동 고덕로98길에, 그러니까 강의 동쪽에 위치한, 게 있는 개울의 위쪽이자 덕이 높은 곳에 자리하고 있다.	\"나에게 봄처럼 따뜻하게 다가와줄 친구들\" (기사 전문) \'리\'는 언덕이나 구릉 또는 지역 등을 이르거나 이를 때 쓰고, 영어 단어 \'레이크(lake·호수)와 발음도 비슷해 많이 쓰인다..... 지금으로부터 정확히 10년 전인 2004년도 어느날 아침 7시 45분 경 그 전날 늦도록 술 마시던 한 남자를 집으로 데려다 주기 위해 운전대 잡았다가 나 또한 그만 중앙선 침범하여 교통사고 일으킨 적있었는데 그날 이후 난 항상 운전할 땐 왼손 엄지손가락 끝부분 안쪽 옆면에다 빨간 장갑 끼고서 다닌다. 사람들이 내 차만 보면 신기해한다니까? ᄒᄏ~ 그런데 오늘따라 문득 이런 생각 들더라.... 아! 맞아...내가 왜 그랬지??????? 요즘 들어 우리나라에서 일어나는 교통사고의 원인 중 가장 큰 이유 중의 하나라고 한다면 바로 음주운전일 것이다. 물론 이건 비단 어제오늘만의 얘기도 아니며 이미 오래 전부터 계속해서 반복되어 온 일이기도 하다. 하지만 이번 추석 명절 연휴 내내 경찰 및 관계 기관 공무원들의 강력 단속 의지에도 불구하고 오히려 날마다 증가 추세
6561	A10027851	신촌푸르지오 아파트	아파트	서울특별시 서대문구 북아현로1길 50	서울	서대문구	북아현동	1길 50	북아현로1길	50	23628828	23628830			임대+분양	위탁관리	혼합식	개별난방	16	940	대우건설	주택조합	2015-10-23 0:00:00	148182	68589	92568	394	452	94				2022-09-12 13:57:07	91508633481	위탁	종합계약	위탁	10414.52	1263	의무	2017-10-27 9:46:25	Y	N	126.9560004	37.56190913	2016-01-21 9:29:07	2015	신촌 푸르지오	서대문	서대문 주변	북아현	고개가 있는 곳	북아현	고개가 있는 곳	신촌 푸르지오 아파트는 서울시 서대문구 북아현동 북아현로1길에, 그러니까 서대문 주변에 위치한, 고개가 있는 곳에 자리하고 있다.	\"꿈꾸지 않으면\"(김수영) (밑줄은 필자 강조). 시적 화자는 \'서대문\'에서 공부하며 살아가고 싶다는 소망[희망]으로 가득 차있지만 그 결과인 현실적인 상황들 때문에 시인으로서 창작활동도 하면서 살아갈 수밖에 없다고 말했습니다. 그런데 왜 하필 그런 일들이 일어나는가? 이것 역시 시인의 질문입니다. 이런 삶이 과연 바람직한가라는 문제제기죠. 제 생각엔 우리 사회 전반적 분위기와 함께 청소년들의 고민과도 관련되어있는 것 같아요. 그래서 저학년부터 고학년까지 다양한 층위의 아이들에게 물어봤어요... 우선 내 이야기라고 해서 너무 무겁게만 받아들이지 마세요! 왜냐하면 나만의 고민거리나 괴로움일 뿐이기 떄문인데요...그냥 자기 얘기 좀 들어봐주세요!!-학생3 <청소년 성장통> 중 일부 발췌위 인용문처럼 위 사례 속 화자2의 경우 중학교 2~ 3 학년 정도 된 남학생인데 글쓰기 대회 등에도 나가 상 타오거나 학교 대표팀 활동 경력까지 가지고 있었던 중학생이다 보니 자신감과 자존감 등이 꽤 높았으며 친구 관계 및 학업 스트레스 등
21481	A10025461	래미안장위포레카운티아파트	아파트	서울특별시 성북구 장월로 160	서울	성북구	장위동	생활지원센터	장월로	160	232922100	232922300			임대+분양	위탁관리	혼합식	개별난방	10	939	삼성물산(주)건설부문	장위1구역주택재개발정비사업조합	2021-05-31 0:00:00	133960	68537	92371	356	556	27			2019-06-25 1:05:30	2022-09-12 9:58:36		위탁	종합계약	위탁	6311.72	1096	의무	2019-11-01 9:30:51	Y	N	127.0522663	37.61790892	2019-06-25 1:05:30	2021	래미안 장위 포레카운티	성북	성곽의 북쪽	장위	노루가 살던 산 주변	장월	장위동과 상월곡동을 잇는 길	래미안 장위 포레카운티 아파트는 서울시 성북구 장위동 장월로에, 그러니까 성곽의 북쪽에 위치한, 노루가 살던 산 주변이자 장위동과 상월곡동을 잇는 길에 자리하고 있다.	\"나 오늘은 친구들이랑 술 한잔 하러 갈꺼야~\" (장안동) \"그래! 좋지~~ 근데 어디서 만나는데? 나도 같이 가자!!\"(상월동) \"(성북동에서 출발하겠습니다).... 성북동입니다.... 지금 시간 좀 늦었어요... 빨리 가야 할 것 같아요.... 죄송합니다........ᅲ_ ᅮ;;;;;\" 이렇게 카톡으로 이야기를 나누고 약속 장소까지 가면서 여러가지 생각들이 오간다. \'오늘 내가 왜 이런 곳 까지 왔을까\' 부터 시작해서 앞으론 어떤 일을 해야 할지 등등 많은 고민 끝에 결국 성밖 마을 성북동이라는 동네와 그 안에 존재하는 수많은 맛집들의 유혹 때문이라고 결론짓는다. ᄒᄉᄋ; 그리고 도착했다는 말 한마디 없이 바로 차 키만 들고서 집 밖으로 나가버린다. 그렇게 한참동안 운전해 간 뒤 내린곳은 다름아닌 포장마차였다. -_-;
6641	A13373301	텐즈힐2구역	아파트	서울특별시 성동구 마장로 137	서울	성동구	상왕십리동	텐즈힐	마장로	137	222973102	222973103			분양	위탁관리	계단식	개별난방	13	937	GS건설현대산업개발삼성물산대림산업	왕십리뉴타운제2구역주택재개발 정비사업조합	2014-06-26 0:00:00	195448	86644	111637	148	563	182		tenshill2.apti.co.kr		2022-09-12 4:54:21		위탁	종합계약	위탁	18045.24	1401	의무	2017-11-27 11:56:08	Y	N	127.0241132	37.57053736	2016-03-22 9:32:25	2014	텐즈힐 2구역	성동	성곽의 동쪽	상왕십리	도성으로 부터 10리 떨어진 곳	마장	조선 초기 목마장이 있던 곳	텐즈힐 2구역 아파트는 서울시 성동구 상왕십리동 마장로에, 그러니까 성곽의 동쪽에 위치한, 도성으로 부터 10리 떨어진 곳이자 조선 초기 목마장이 있던 곳에 자리하고 있다.	\"도성의 서쪽에서 남쪽까지 서울은 모두 평지인데 이곳만 유독 산이 많아 마치 한양의 울타리와 같습니다\" 한양도성(漢陽都城)이란? 1395년 태조 이성계가 백악산·낙랑 등 주변 산세의 험준함 때문에 도성이 없다고 하여 도읍지를 개경으로부터 한성부로 옮겨 쌓게 된 성이다 -위키백과- 왕십리 뉴타운 개발계획부터 시작해 재개발 사업 과정 중 여러가지 문제점들이 발생했고 그중 가장 큰 문제였던 것은 바로 세입자들의 주거권 보장문제 였는데... 이런 저런 이유로 인해 결국 조합측과의 갈등 끝에 현재 입주하신 분들이나 앞으롤 들어올분들에게 피해나 불이익 없이 깔끔히 정리되었으면 하며 글 써본다.... 오늘 소개할 단지내 상가 점포 임대물건은 1층 대로변 코너자리 입니다..... 위 사진처럼 전면부가 아주 넓어 가시성과 광고효과 좋으며 내부 인테리어 및 시설 또한 잘 되있어서 장사하시기에 최고입니다^^ 보증금 5천만원 / 월 400 만원에 계약 가능합니다~ 관리비 포함된 금액이니 참고바랍니다!!
3261	A15883402	신정뉴타운롯데캐슬	아파트	서울특별시 양천구 중앙로29길 61	서울	양천구	신월동	612-13 신정뉴타운롯데캐슬	중앙로29길	61	226900941	226900946	4		임대+분양	위탁관리	혼합식	개별난방	11	930	롯데건설(주)	신월.신정뉴타운1구역4지구재개발	2014-02-07 0:00:00	136790	69537	93585	359	476	95		sjlotte.aptner.com		2022-09-12 17:21:56		위탁	단일계약	위탁	8285.1	1005	의무	2015-04-13 19:13:20	Y	N	126.8472217	37.5188916	2014-04-02 11:24:11	2014	신정 뉴타운 롯데캐슬	양천	볕이 드는 개울	신월	신선한 반달 모양의 마을	중앙	번화가의 중심	신정 뉴타운 롯데캐슬 아파트는 서울시 양천구 신월동 중앙로29길에, 그러니까 볕이 드는 개울에 위치한, 신선한 반달 모양의 마을이자 번화가의 중심에 자리하고 있다.	\"아파트에서 학교까지 거리가 멀어서 등하교할 때 불편한데 언제쯤 등교 시간 조정되나요?\" 그 다음으로 궁금해 하실 것은 바로 교통입니다! 지하철 신정네거리역(7호선) 2번 출구와 도보 약 10분 정도 소요됩니다~ 버스정류장도 가까워서 편리합니다^^ 자차 이용시에도 경인고속도로 지하차도 진입 후 남부순환도로 방면 우측 도로 이용하여 가면 1시간 이내 도착 가능해요~~ 아래 지도 참고하시고 찾아오세요 :) 그럼 이제부터 본격적으로 사진들 보실까요?! -------------------------------사진 속 정보 확인하기-★ -------------------------- #1 입구 모습 저희 집 앞 쪽 전경인데요.. 보시다시피 주택가와 가까이 붙어있습니다ᄒ_ᅲ 그래서 늘 차 소리나 사람소리 때문에 시끄러운 편인데 다행히 이번엔 공사 중이라 시끄럽지 않았어요!! 그래도 가끔씩 큰 트럭 지나갈 땐 무섭긴 합니다... (저번에 어떤 아저씨께서 저보고 귀신 같다고 하시면서 놀라셨다는,,; ᄏᄃ;; 아 그리고 위 건물 옥상 부분 보이죠?? 여기서 제 친구들이 종종 축구게임이나 농구 게임한다고
20421	A10026036	마포자이 더 센트리지 아파트	아파트	서울특별시 마포구 숭문길 98	서울	마포구	염리동	관리사무소	숭문길	98	232752126	232752128			임대+분양	위탁관리	혼합식	개별난방	12	927	GS건설	염리2구역 주택재개발정비사업 조합	2018-09-28 0:00:00	148606	64521	88379	466	449	12			2018-10-04 6:28:42	2022-09-12 15:29:41	91918596091	위탁	종합계약	위탁	7930.96	1173	의무	2019-04-08 16:41:05	Y	N	126.9466125	37.55027258	2018-10-04 6:28:42	2018	마포자이 더 센트리지	마포	삼베 포구	염리	소금창고가 있던 곳	숭문	숭문중학교를 지나는 길	마포자이 더 센트리지 아파트는 서울시 마포구 염리동 숭문길에, 그러니까 삼베 포구에 위치한, 소금창고가 있던 곳이자 숭문중학교를 지나는 길에 자리하고 있다.	\"좋은 학교 다니고 좋아하 는 선생님 만나서 꿈이라는 것도 갖게 되었으면...\" 마포 자이더서울아파트 1단지에서 바라본 한강뷰 전망이다. 사진상으로 보면 서울도심권내 한강의 모습인데 망원한강공원까지 보인다. 지하철 6호선 광흥창역 2번출구 바로 앞이라고 할 수있는데 교통만 편리하다면야 초역세권의 가치와 프리미엄 가격상승가치 그리고 미래투자적인 측면 모두 다 만족할수있는곳이라 하겠다(물론 나같아도 투자한다는 점) [광남사거리] 내집앞 버스정류장 - (사진 클릭시 확대 가능함) \'교통\'이란 우리 생활 속 빼놓아서 안될 필수 요소중 하나입니다! 그만큼 사람들에게 중요하기 때문인데요~ 오늘 제 포스팅에선 여러분께 도움되실만한 유용한 정보하나 가지고와봤어요 :) 혹시 지역주민분들이라면 한번씩 이용해보셨거나 관심가지신 분 계시나요? 그렇담 저랑 같이 알아봐요~~^^* 첫 번째 소개해드릴것! <마포구 대중교통> 입니다 ^^
40185	A10024302	독산역 롯데캐슬아파트	아파트	서울특별시 금천구 벚꽃로 100	서울	금천구	독산동		벚꽃로	100	28038576	28038577			임대	위탁관리	계단식	기타	8	927	롯데건설	롯데알미늄	2021-04-29 0:00:00	136511	63375	88857	610	317	0			2021-05-19 11:54:06	2022-09-12 20:09:24		위탁	종합계약	위탁	6419.37	1144	임대	2022-02-08 13:34:04	Y	N	126.8904329	37.4644259	2022-02-08 11:42:35	2021	독산역 롯데캐슬	금천	옷깃처럼 긴 개울	독산	벌거숭이 산 주변	벚꽃	벚꽃나무 길	독산역 롯데캐슬 아파트는 서울시 금천구 독산동 벚꽃로에, 그러니까 옷깃처럼 긴 개울에 위치한, 벌거숭이 산 주변이자 벚꽃나무 길에 자리하고 있다.	\"우리가 살고 싶은 집\" -------------------------------- <기사 내용> 서울시의 \'강북 우선 투자\' 정책으로 인해 개발제한 구역 해제지역들이 재개발 사업 진행속도를 높이면서 노후된 주택들도 새 단장할 수 있게 되었습니다. 그 중에서 가장 주목받았던 곳 중의 하나였죠~ 바로 금천구의 대표적인 낙후 지역중 한곳이기도 했는데요.. 하지만 최근 들어 변화되어가는 모습입니다! 실제로 지난 10월부터 입주하기 시작하며 많으 분들의 관심속에 성공적 분양까지 마쳤다고 합니다^^ 그럼 지금 부터 자세하게 살펴보겠습니닷!! 1호선 가산디지털단지역 인근이라 교통편이 편리합니다. 또한 시흥대로와 서부간선도로 등 주요 도로와의 접근성 역시 좋아 대중교통 이용에도 불편함 없어 보입니다^_^ 단지 내부의 조경시설이나 주민운동 시설 등이 잘 갖추어져있어서 입주민분 들께서 쾌적한 환경 속 에서 생활 하실 것 같네요~~ 또 다른 장점중의 강점이라고 할수있는 교육환경 입니다 ^-< 초등학교(우암초) 와 중학교 (금천중학교), 고등학교 가 모두 도보권
40047	A10024891	서교동 효성해링턴타워	아파트	서울특별시 마포구 양화로 72	서울	마포구	서교동		양화로	72	23352203	23352204			임대	위탁관리	복도식	개별난방	1	913	효성중공업	SH/멀티에셋	2020-04-23 0:00:00	60483	27202	60483	913	0	0			2020-05-19 12:17:56	2022-09-12 15:55:05	92023023631	위탁	종합계약	위탁	3792.29	580	임대	2020-06-23 0:00:00	Y	N	126.9167103	37.5507398	2020-06-23 0:00:00	2020	서교동 효성 해링턴타워	마포	삼베 포구	서교	교량의 서쪽	양화	양화대교로 가는 길	서교동 효성 해링턴타워 아파트는 서울시 마포구 서교동 양화로에, 그러니까 삼베 포구에 위치한, 교량의 서쪽이자 양화대교로 가는 길에 자리하고 있다.	한강과 맞닿은 곳의 고층 건물들 사이를 지나면 나오는데 그 모습 자체가 장관이다. 마치 하늘에서 내려다보듯 아래에서부터 위까지 모든 것들이 한 눈으로 들어온다. 저 멀리 여의도와 남산 타워도 보인다. 집 안 곳곳마다 창 밖 풍경이 펼쳐진다. 거실이나 침실 모두 바깥 경치를 즐길 수 있도록 설계되어있고 층고가 높아서 개방감 또한 뛰어나며 채광 역시 좋기 때문에 집안 전체적 분위기마저 환하게 느껴진다. 또 하나 빼놓지 말아야 할 점은 교통 여건인데 지하철 2호선 홍대입구역 9번 출구 바로 앞이라 어디든 쉽게 갈 수가 있다는 게 장점 중 가장 큰 매력이라고 생각한다. 요즘 같아선 서울 시내 웬만한데 다 다니긴 하지만 그래도 아직 부족하다고 느끼기도 하니까... 그리고 주변 편의시설 등 생활 인프라도 잘 갖춰져있는 편이라 살기에 불편함 없이 지낼 수도 있겠다 싶었던 기억이 난다(물론 지금이야 더 많이 발전했지만). 그럼 이제부터 본격적인 이야기 속으로 들어가 보자! 1) 단지 정보 주소: 서울특별시 서대문구 양화로 45 (홍제동 8-25번지 일대 / 지번주소), 즉 마포한강 푸르지오 주상복합아파트 지하 3층
18063	A10026941	서초푸르지오써밋	아파트	서울특별시 서초구 서운로 201	서울	서초구	서초동	서초푸르지오써밋아파트 관리사무소	서운로	201	234820907	234820939			임대+분양	위탁관리	계단식	지역난방	7	907	대우건설	서초삼호1차아파트주택재건축정비조합	2017-06-22 0:00:00	162715	78715	105109	192	388	327			2017-07-14 5:20:39	2022-09-11 1:00:20		위탁	종합계약	위탁	6534.79	1284	의무	2018-10-11 17:11:37	Y	N	127.0212026	37.50158639	2017-07-14 5:20:39	2017	서초 푸르지오 써밋	서초	서리풀이 무성했던 곳	서초	서리풀이 무성했던 곳	서운	서운중학교 앞을 지나는 길	서초 푸르지오 써밋 아파트는 서울시 서초구 서초동 서운로에, 그러니까 서리풀이 무성했던 곳에 위치한, 서리풀이 무성했던 곳이자 서운중학교 앞을 지나는 길에 자리하고 있다.	\"저 푸른 초원위를~~~♪\"이라는 노래처럼 푸르고 아름다운 초원이 펼쳐지길 기대하며... 서초푸르지오써티아파트 서울특별시 강남구 강남대로30길이라고 하면 어디서나 쉽게 찾겠는데 그중에서도 강남역 10번 출구 방향으로 향하다보니 바로 옆 건물이다. 그리고 지하1층부터 지상 34-49층까지 총 3개동 규모(976세대)로서 최고급 주거단지로서의 면모와 함께 랜드마크 역할은 물론 교통·생활 및 교육환경 등 입지여건 또한 우수해 주목된다. 단지 내 입주민 편의시설 뿐만 아니라 인근 지역주민들에게 제공되어 생활 인프라 시설 이용이 편리할 것 같은데 특히 학군이나 학원 등의 면에선 더욱 좋아질듯 하다. 게다가 지하철 2호선과 신분당선 환승역인 \'강남역\' 까지 도보 5분거리여서 역세권이라고 할 수있겠다. 지도상 보다시피 왼쪽 상단부에 표시된 부분인데 이렇게 지하철역 사이 간격이 멀어서 오히려 좀더 가까이 가기위한 시간 소요는 적지 않을까 싶기도 한데 실제로 가보았더니 역 주변보다는 약간 거리감있는 편
20823	A10025767	홍제센트럴아이파크	아파트	서울특별시 서대문구 통일로 395	서울	서대문구	홍제동	(홍제동 홍제센트럴아이파크)	통일로	395	27209425	27209426			임대+분양	위탁관리	혼합식	개별난방	14	906	현대산업개발	홍제 제2구역주택재개발정비사업조합	2018-12-31 0:00:00	135060	68260	91360	288	559	59			2019-02-15 14:33:15	2022-09-12 14:14:19	91918047661	위탁	단일계약	위탁	913596273	1051	의무	2019-11-06 16:48:33	Y	N	126.9444662	37.58463448	2020-01-07 21:00:00	2018	홍제 센트럴 아이파크	서대문	서대문 주변	홍제	조선시대 중국 사신이 유숙하던 곳	통일	통일의 의지가 담아져있는 길	홍제 센트럴 아이파크 아파트는 서울시 서대문구 홍제동 통일로에, 그러니까 서대문 주변에 위치한, 조선시대 중국 사신이 유숙하던 곳이자 통일의 의지가 담아져있는 길에 자리하고 있다.	\"서울 도심 한복판에서 느끼고 싶은 모든 것들\" -------------------------------- 서울 \'센트럴파크\'를 꿈꾼다는 그들의 이야기 [르포] 3년째 방치된 흉물아파트.. 왜? 오마이뉴스|2015-08-06 19:03 ▲ 지난 4일 오후 찾았더니 내부 공사중으로 문 앞 유리벽만 덩그러니 놓여있었습니다 c 이경태 관련사진보기 지하철 6호선 광흥창역 1번 출구와 불과 100여m 떨어진 거리에 지상 20층 높이(최고높이 72미터) 규모의 주상복합 건물 2동이 우뚝 서 위용을 자랑했지만 이곳 입주민들이 최근 들어 가장 큰 불편함을 호소한다는 건 누구나 알 수 있게 돼버렸다. 바로 옆엔 비슷하지만 더 높아 보이는 또 다른 고층건물도 함께 들어서며 두 동의 스카이라인마저 어지럽혀졌기 때문이다. 그런데 문제 해결은커녕 오히려 더욱 심각해지는 상황이란 점 또한 분명해졌으니... 도대체 무슨 일일까?
21661	A10025410	휘경SK뷰아파트	아파트	서울특별시 동대문구 휘경로 60	서울	동대문구	휘경동	휘경sk뷰 아파트	휘경로	60	222455800	222455900			임대+분양	위탁관리	혼합식	개별난방	8	900	SK건설	휘경2 재정비촉진구역 주택재개발 사업조합	2019-06-18 0:00:00	133637	62092	84851	489	355	56			2019-07-19 0:22:00	2022-09-12 6:52:52		위탁	종합계약	위탁	6051.92	1092	의무	2019-11-06 13:15:46	Y	N	127.0649569	37.59416023	2019-07-19 0:22:00	2019	휘경 SK뷰	동대문	동대문 주변	휘경	휘경원이 있던 데	휘경	휘경원이 있던 데	휘경 SK뷰 아파트는 서울시 동대문구 휘경동 휘경로에, 그러니까 동대문 주변에 위치한, 휘경원이 있던 데에 자리하고 있다.	1) 자연과 함께하며 건강해지는 삶 2) 아이들에게 좋은 교육환경 제공 3) 경제적으로 여유로운 생활 4) 이웃 간 정이 넘치고 화목 5) 안전함 속에서 편안 6) 조용조용 살기 7) 교통 편리 8) 깨끗해서 쾌적 9) 문화생활 10) 노후 걱정 없음 11) 공기가 맑아서 12) 도심 한가운데서 누리는 전원주택 13) 숲세권(숲+역세권의 합성어), 즉 공원이나 산 등 녹지가 가까이 모인 주거지역 14) 층간 소음 없이 자유롭게 15) 가족 간의 대화와 소통 16) 사계절 내내 푸른 녹지를 누릴 수 있어 17) 자녀들의 정서 함양 18) 미세먼지로부터 해방 19) 내 집 앞의 정원 20) 마음 놓고 산책할 곳 21) 주차걱정 끝 22) 주민 공동시설 이용 23) 관리비도 저렴 24) 보안시스템 완벽 25) 입주민 전용 커뮤니티 공간 26) 단지 바로 옆 초등학교 27) 중랑천 산책로 28) 서울로 출퇴근 용이 29) 역세권 30) 지하철 1호선 회기역 도보 가능 31) 경춘선 청량리역이 가깝습니다 32) 동부간선도로 33) 내부순환고속도로 34) 강남북 접근성 우수 35) GTX C 노선 개통 예정
20843	A10025768	이편한세상 상도 노빌리티	아파트	서울특별시 동작구 만양로 6	서울	동작구	상도동	상도2동 상도노빌리티아파트 생활지원쎈터	만양로	6	28270181	28270183			임대+분양	위탁관리	혼합식	개별난방	8	893	대림산업	상도노빌리티재건축조합	2018-12-03 0:00:00	141263	70829	94472	253	584	56			2019-02-15 16:45:17	2022-09-12 23:01:00		직영	종합계약	위탁	0	0	의무	2019-03-13 9:56:07	Y	N	126.9467911	37.50499309	2019-02-15 16:45:17	2018	e편한세상 상도 노빌리티	동작	구릿빛 참새가 많던 곳	상도	상여꾼이 많이 살던 데	만양	만양고개 주변	e편한세상 상도 노빌리티 아파트는 서울시 동작구 상도동 만양로에, 그러니까 구릿빛 참새가 많던 곳에 위치한, 상여꾼이 많이 살던 데이자 만양고개 주변에 자리하고 있다.	 #상도역래미안1차아파트상가 서울특별시 - 지하철 7호선 장승배기역과 불과 도보로 5분 거리밖에 되지 않는다. 지하철역에서 바로 연결되어있는 초역세권이다! 버스 정류장도 가깝고,, 보라매공원은 걸어서 10분도 안 걸린다.. (근데 이건 공원까지 가겠다는 소리보다 집 앞 마당 산책하러 간다는 얘기임) 그리고 그 근처엔 시장과 마트와 병원 등등 여러 편의시설들이 잘 갖춰져있으니 생활의 편리함 또한 보장된다... ᄏᄉᄐᄃ? 뭐 이런 느낌적인느낌일까나~!!! 아무튼 이렇게 말하니 뭔가 좋아보이지만 사실 내 기준으로 보면 그렇다는거 ^^; 그냥 일단 교통편이 너무 편해서 그런 것 같기도 하다~~!! 그래도 서울 한복판인데 도로 상태 좀 봐.... 운전하기 진짜 힘들더라 ᅲᅳᅮ 여기서 왜 갑자기 또 화가 나냐구요?! 그건 다음 포스팅부터 공개합니다 ^0^/// https://tv.naver.com/-vgxkcwCs9y8Eo7BpDqNWV-Q6b3HG_M
3362	A15603008	힐스테이트상도프레스티지	아파트	서울특별시 동작구 상도로 346-2	서울	동작구	상도동	533	상도로		28270388	28270389			분양	위탁관리	계단식	개별난방	16	882	현대엠코	지역주택조합	2013-08-14 0:00:00	158634	82035	106266	24	640	218		astonpark.co.kr		2022-09-12 22:42:46	62082763720	위탁	단일계약	위탁	9832.12	1185	의무	2019-03-22 9:25:19	Y	N	126.9482556	37.4947757	2014-05-12 11:35:55	2013	힐스테이트 상도 프레스티지	동작	구릿빛 참새가 많던 곳	상도	상여꾼이 많이 살던 데	상도	상여꾼이 많이 살던 데	힐스테이트 상도 프레스티지 아파트는 서울시 동작구 상도동 상도로에, 그러니까 구릿빛 참새가 많던 곳에 위치한, 상여꾼이 많이 살던 데에 자리하고 있다.	\"어린이들이 바라는 \'꿈\'은 무지개처럼 다채롭습니다\" 서울 지하철 7호선 장승배기역 근처 신축아파트 분양...지상 30층 12개동 1403세대 2007년 10월 11일 (화) 07:34 중앙일보 *******@*********.*** [중앙일보 백성호의 길] #1. 최근 한 대형 건설사에서 선보인 주상복합형 커뮤니티 시설 중 주목할 만한 공간 중의 하나를 꼽으라면 도서관이다. 보통 사람들에게 책 읽기란 큰돈 들여 시간 내기 어려운 일인데 이곳에선 주민 누구나 공짜 또는 적게 내도 된다니 말 그대로 꿈 같은 이야기 아닌가? 더구나 그 안엔 호텔급 스파와 피트니스센터까지 갖추었다니.... 그러고 보면 단지 규모뿐 아니라 입지 여건 또한 눈여겨볼 만하다(상도 엠코타운 현장사무소 031-822-9900). 여기서 그치지 않는다. 놀이터·광장 등 다양하고도 풍부해진 편의시설 역시 웬만해선 갖출 수 없는데 특히 요즘 들어 부쩍 눈 여겨 본 게 바로 텃밭이나 가족텃밭 등이 갖춰져 친환경 먹거리조차 제공한다는 점이니 가히 미래지향적이라 할 만 하다!
40184	A10024313	힐스테이트녹번역아파트	아파트	서울특별시 은평구 은평로 240	서울	은평구	응암동		은평로	240	23899738	23899739			임대+분양	위탁관리	계단식	개별난방	11	879	현대건설	응암1구역주택재개발정비사업조합	2021-04-29 0:00:00	120369	60587	80974	420	459	0		https://nokbeon.aptner.com/	2021-05-05 8:45:51	2022-09-12 13:02:14		위탁	종합계약	위탁	7585.03	980	의무	2021-07-05 17:33:42	Y	N	126.934656	37.59962	2021-07-05 9:09:31	2021	힐스테이트 녹번역	은평	은혜와 평화의 땅	응암	송골매 형상의 바위가 있는 곳	은평	은혜와 평화의 땅	힐스테이트 녹번역 아파트는 서울시 은평구 응암동 은평로에, 그러니까 은혜와 평화의 땅에 위치한, 송골매 형상의 바위가 있는 곳이자 은혜와 평화의 땅에 자리하고 있다.	\"은평구에서 가장 높고 큰 꿈이 담긴 산이 바로 \'응암동의 상징\'으로 불리며 서울 시민들의 사랑받아온 북한산(北漢山)입니다\"라고 말이다.. 그리고 그 산 정상 부근엔 커다란 매바위라는 봉우리도 존재하는데 그곳에선 북한산의 전경 뿐만 아니라 맑게 개인 날에 멀리까지 보이기에 등산객들에게 인기있는 장소이기도 하다... 또한 이곳 근처에 가볼만한곳으론 백련산근린공원이라고 해서 동네 주민들이 이용하기 좋도록 만들어놓았으며 불광천 산책로를 따라 가면 갈 수 없던 길이나 자연생태 체험 학습장등 여러 볼거리 등이 많아서 아이랑 함께 산책하기 참좋다는 생각이드네요^^ 자 그럼 이제부터 본격적으로 은헤로운세상 힐스파크녹번아파트 소개 시작합니다~! 일단 단지배치도와 평면도가 궁금하시면 아래 링크 클릭해주세요~~ http://blog.naver.com/hsj7210222206 [분양정보][계약안내문&모델하우스방문예약신청방법 안내!! 안녕 하십니까? 고객님!!!
